epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.713,1.49819,2.41092,1.99829,0.00318,0.94704,0.13429,0.02673,2.40573,4.00046,3.52563,0.00042,0.00042,0.00042
2,289.83,1.40629,1.92471,1.86908,0.27053,0.3202,0.2265,0.07753,1.83794,3.6591,2.97187,0.000851486,0.000851486,0.000851486
3,434.817,1.48323,1.8205,1.93245,0.21778,0.21059,0.11104,0.0246,3.12086,4.23215,4.86905,0.00127426,0.00127426,0.00127426
4,572.145,1.46416,1.70772,1.89445,0.26151,0.33867,0.18255,0.03691,2.93056,2.87782,4.47845,0.00168832,0.00168832,0.00168832
5,709.742,1.57391,1.71329,1.981,0.06326,0.15271,0.02884,0.00505,3.4738,4.28671,5.04285,0.0019208,0.0019208,0.0019208
6,845.391,1.52186,1.65854,1.93325,0.37388,0.29926,0.24435,0.06246,2.7396,2.90822,3.94976,0.001901,0.001901,0.001901
7,983.501,1.50779,1.65513,1.96687,0.0192,0.06773,0.00492,0.00123,3.85904,6.01339,5.16566,0.0018812,0.0018812,0.0018812
8,1121.11,1.49814,1.49645,1.89854,0.02385,0.08128,0.00728,0.0013,3.86223,6.58184,5.19086,0.0018614,0.0018614,0.0018614
9,1259.22,1.48696,1.46391,1.8834,0.23836,0.33498,0.18187,0.05261,2.26408,2.54146,3.48249,0.0018416,0.0018416,0.0018416
10,1400.84,1.52129,1.40695,1.91367,0.67751,0.61084,0.62339,0.24698,2.04985,1.72974,3.18779,0.0018218,0.0018218,0.0018218
11,1536.9,1.47824,1.40765,1.91384,0.37092,0.50616,0.35751,0.10369,2.26087,2.01371,3.33325,0.001802,0.001802,0.001802
12,1678.33,1.4484,1.40665,1.87407,0.69214,0.66995,0.65645,0.26445,2.02849,1.72242,3.09106,0.0017822,0.0017822,0.0017822
13,1814.82,1.42052,1.36556,1.84675,0.76999,0.74507,0.74672,0.31654,1.92097,1.37281,2.92356,0.0017624,0.0017624,0.0017624
14,1956.64,1.38885,1.28986,1.83825,0.33162,0.23586,0.171,0.03995,3.62431,2.19603,4.33936,0.0017426,0.0017426,0.0017426
15,2093.3,1.40156,1.28953,1.82404,0.46822,0.3202,0.31901,0.10899,2.72919,2.06255,3.495,0.0017228,0.0017228,0.0017228
16,2235.67,1.39664,1.23342,1.79893,0.43951,0.45813,0.39206,0.12907,2.26961,2.21686,3.13521,0.001703,0.001703,0.001703
17,2422.4,1.37442,1.25942,1.79253,0.6608,0.62857,0.66966,0.26511,2.11893,1.72333,3.13467,0.0016832,0.0016832,0.0016832
18,2564.57,1.38594,1.2407,1.80899,0.82663,0.78818,0.74696,0.34588,1.95049,1.33559,2.96618,0.0016634,0.0016634,0.0016634
19,2706.55,1.37663,1.18023,1.79939,0.86301,0.83013,0.82857,0.3764,1.93841,1.13041,2.86362,0.0016436,0.0016436,0.0016436
20,2851.27,1.37428,1.18821,1.77762,0.83891,0.78202,0.76528,0.38264,1.85299,1.03282,2.90501,0.0016238,0.0016238,0.0016238
21,2993.91,1.33762,1.1875,1.79185,0.84731,0.81324,0.80668,0.40659,1.81517,1.0853,2.7392,0.001604,0.001604,0.001604
22,3134.54,1.40217,1.2463,1.79096,0.83358,0.80811,0.80229,0.3949,1.80749,1.00469,2.86565,0.0015842,0.0015842,0.0015842
23,5068.93,1.3598,1.20054,1.76701,0.80048,0.78571,0.78852,0.35367,1.84253,1.27272,2.76953,0.0015644,0.0015644,0.0015644
24,5212.78,1.36654,1.22505,1.76965,0.7879,0.7968,0.81944,0.37735,1.84239,1.19736,2.71336,0.0015446,0.0015446,0.0015446
25,5700.29,1.36253,1.16388,1.72763,0.82992,0.7632,0.79562,0.36897,1.97434,1.15513,2.85169,0.0015248,0.0015248,0.0015248
